"","estimate","se","lcl","ucl","fixed","note"
"Phi ghatchery2010 c1 a0 t1",1,0,1,1,"     ",""
"Phi ghatchery2010 c1 a1.9 t2.9",0.9928222,0.0010851,0.9903502,0.9946644,"     ",""
"Phi ghatchery2010 c1 a8.81 t9.81",0.996849,0.0006412729,0.9953058,0.9978859,"     ",""
"Phi ghatchery2010 c1 a17.14 t18.14",0.9956856,0.0007906798,0.9938229,0.9969883,"     ",""
"Phi ghatchery2010 c1 a24.84 t25.84",0.9983739,0.0005321722,0.9969129,0.999144,"     ",""
"Phi ghatchery2010 c1 a30.63 t31.63",0.9977495,0.0008041956,0.9954695,0.9988834,"     ",""
"Phi ghatchery2010 c1 a34.5 t35.5",0.9863591,0.0018052,0.9823286,0.9894801,"     ",""
"Phi ghatchery2010 c1 a40.93 t41.93",0.9831732,0.0027086,0.9769532,0.9877356,"     ",""
"Phi ghatchery2010 c1 a44.63 t45.63",0.9837523,0.0017766,0.979877,0.9868913,"     ",""
"Phi ghatchery2010 c1 a60.63 t61.63",0.9809831,0.0019792,0.97669,0.9844981,"     ",""
"Phi gwild2010 c1 a0 t1",1,0,1,1,"     ",""
"Phi gwild2010 c1 a1.9 t2.9",0.9901826,0.0014008,0.9870202,0.9925803,"     ",""
"Phi gwild2010 c1 a8.81 t9.81",0.9956837,0.0008517802,0.9936477,0.9970691,"     ",""
"Phi gwild2010 c1 a17.14 t18.14",0.9940927,0.0010422,0.9916558,0.9958209,"     ",""
"Phi gwild2010 c1 a24.84 t25.84",0.9977713,0.0007209032,0.995801,0.9988182,"     ",""
"Phi gwild2010 c1 a30.63 t31.63",0.9969163,0.001091,0.9938367,0.9984595,"     ",""
"Phi gwild2010 c1 a34.5 t35.5",0.9813872,0.002293,0.976318,0.9853875,"     ",""
"Phi gwild2010 c1 a40.93 t41.93",0.977067,0.0035089,0.9690832,0.9830253,"     ",""
"Phi gwild2010 c1 a44.63 t45.63",0.9778516,0.0021767,0.9731587,0.9817394,"     ",""
"Phi gwild2010 c1 a60.63 t61.63",0.9741032,0.0024068,0.9689436,0.9784247,"     ",""
"Phi ghatchery2011 c1 a0 t1",1,0,1,1,"     ",""
"Phi ghatchery2011 c1 a1.9 t2.9",0.9969092,0.0004505309,0.9958877,0.9976776,"     ",""
"Phi ghatchery2011 c1 a8.81 t9.81",0.9986463,0.0002699419,0.9979991,0.9990843,"     ",""
"Phi ghatchery2011 c1 a17.14 t18.14",0.9981452,0.0003317073,0.9973669,0.9986938,"     ",""
"Phi ghatchery2011 c1 a24.84 t25.84",0.999302,0.0002267868,0.9986807,0.9996308,"     ",""
"Phi ghatchery2011 c1 a30.63 t31.63",0.9990337,0.0003434181,0.9980613,0.9995186,"     ",""
"Phi ghatchery2011 c1 a34.5 t35.5",0.9941043,0.0007465622,0.992445,0.9954009,"     ",""
"Phi ghatchery2011 c1 a40.93 t41.93",0.992714,0.001143,0.9900948,0.9946443,"     ",""
"Phi ghatchery2011 c1 a44.63 t45.63",0.9929671,0.0006982358,0.9914575,0.9942114,"     ",""
"Phi ghatchery2011 c1 a60.63 t61.63",0.9917553,0.0007599519,0.9901242,0.9931189,"     ",""
"Phi gwild2011 c1 a0 t1",1,0,1,1,"     ",""
"Phi gwild2011 c1 a1.9 t2.9",0.9957662,0.0007009448,0.9941447,0.99694,"     ",""
"Phi gwild2011 c1 a8.81 t9.81",0.9981444,0.0003979138,0.9971756,0.9987814,"     ",""
"Phi gwild2011 c1 a17.14 t18.14",0.9974581,0.0004968568,0.9962722,0.9982674,"     ",""
"Phi gwild2011 c1 a24.84 t25.84",0.999043,0.0003200215,0.9981573,0.9995032,"     ",""
"Phi gwild2011 c1 a30.63 t31.63",0.9986752,0.0004822924,0.997297,0.9993512,"     ",""
"Phi gwild2011 c1 a34.5 t35.5",0.9919323,0.0012048,0.9891931,0.9939815,"     ",""
"Phi gwild2011 c1 a40.93 t41.93",0.9900349,0.0017475,0.985957,0.9929372,"     ",""
"Phi gwild2011 c1 a44.63 t45.63",0.9903802,0.0012211,0.9876669,0.9925011,"     ",""
"Phi gwild2011 c1 a60.63 t61.63",0.9887277,0.0013726,0.9856942,0.9911238,"     ",""
"Phi ghatchery2012 c1 a0 t1",1,0,1,1,"     ",""
"Phi ghatchery2012 c1 a1.9 t2.9",0.9973994,0.0003656833,0.9965746,0.9980261,"     ",""
"Phi ghatchery2012 c1 a8.81 t9.81",0.9988613,0.0002227322,0.9983294,0.999224,"     ",""
"Phi ghatchery2012 c1 a17.14 t18.14",0.9984397,0.000272347,0.9978035,0.9988919,"     ",""
"Phi ghatchery2012 c1 a24.84 t25.84",0.9994129,0.0001893482,0.9988955,0.999688,"     ",""
"Phi ghatchery2012 c1 a30.63 t31.63",0.9991872,0.0002870965,0.9983762,0.9995933,"     ",""
"Phi ghatchery2012 c1 a34.5 t35.5",0.9950372,0.0005983925,0.9937151,0.9960823,"     ",""
"Phi ghatchery2012 c1 a40.93 t41.93",0.9938655,0.0009334419,0.9917364,0.9954486,"     ",""
"Phi ghatchery2012 c1 a44.63 t45.63",0.9940789,0.0005430001,0.9929137,0.9950534,"     ",""
"Phi ghatchery2012 c1 a60.63 t61.63",0.9930573,0.0005753632,0.9918336,0.9940987,"     ",""
"Phi gwild2012 c1 a0 t1",1,0,1,1,"     ",""
"Phi gwild2012 c1 a1.9 t2.9",0.9964371,0.0005246882,0.9952457,0.9973307,"     ",""
